bookId,check,success
42000000001,false,false
42000000002,false,false
42000000003,false,false
42000000004,false,false
42000000005,false,false
42000000006,false,false
42000000007,false,false
42000000008,false,false
42000000009,false,false
42000000010,false,false
42000000011,false,false
42000000012,false,false
42000000013,false,false
42000000014,false,false
42000000015,false,false
42000000016,false,false
42000000017,false,false
42000000018,false,false
42000000019,false,false
42000000020,false,false
42000000021,false,false
42000000022,false,false
42000000023,false,false
42000000024,false,false
42000000025,false,false
42000000026,false,false
42000000027,false,false
42000000028,false,false
42000000029,false,false
42000000030,false,false
42000000031,false,false
42000000032,false,false
42000000033,false,false
42000000034,false,false
42000000035,false,false
42000000036,false,false
42000000037,false,false
42000000038,false,false
42000000039,false,false
42000000040,false,false
42000000041,false,false
42000000042,false,false
42000000043,false,false
42000000044,false,false
42000000045,false,false
42000000046,false,false
42000000047,false,false
42000000048,false,false
42000000049,false,false
42000000050,false,false
42000000051,false,false
42000000052,false,false
42000000053,false,false
42000000054,false,false
42000000055,false,false
42000000056,false,false
42000000057,false,false
42000000058,false,false
42000000059,false,false
42000000060,false,false
42000000061,false,false
42000000062,false,false
42000000063,false,false
42000000064,false,false
42000000065,false,false
42000000066,false,false
42000000067,false,false
42000000068,false,false
42000000069,false,false
42000000070,false,false
42000000071,false,false
42000000072,false,false
42000000073,false,false
42000000074,false,false
42000000075,false,false
42000000076,false,false
42000000077,false,false
42000000078,false,false
42000000079,false,false
42000000080,false,false
42000000081,false,false
42000000082,false,false
42000000083,false,false
42000000084,false,false
42000000085,false,false
42000000086,false,false
42000000087,false,false
42000000088,false,false
42000000089,false,false
42000000090,false,false
42000000091,false,false
42000000092,false,false
42000000093,false,false
42000000094,false,false
42000000095,false,false
42000000096,false,false
42000000097,false,false
42000000098,false,false
42000000099,false,false
42000000100,false,false
42000000101,false,false
42000000102,false,false
42000000103,false,false
42000000104,false,false
42000000105,false,false
42000000106,false,false
42000000107,false,false
42000000108,false,false
42000000109,false,false
42000000110,false,false
42000000111,false,false
42000000112,false,false
42000000113,false,false
42000000114,false,false
42000000115,false,false
42000000116,false,false
42000000117,false,false
42000000118,false,false
42000000119,false,false
42000000120,false,false
42000000121,false,false
42000000122,false,false
42000000123,false,false
42000000124,false,false
42000000125,false,false
42000000126,false,false
42000000127,false,false
42000000128,false,false
42000000129,false,false
42000000130,false,false
42000000131,false,false
42000000132,false,false
42000000133,false,false
42000000134,false,false
42000000135,false,false
42000000136,false,false
42000000137,false,false
42000000138,false,false
42000000139,false,false
42000000140,false,false
42000000141,false,false
42000000142,false,false
42000000143,false,false
42000000144,false,false
42000000145,false,false
42000000146,false,false
42000000147,false,false
42000000148,false,false
42000000149,false,false
42000000150,false,false
42000000151,false,false
42000000152,false,false
42000000153,false,false
42000000154,false,false
42000000155,false,false
42000000156,false,false
42000000157,false,false
42000000158,false,false
42000000159,false,false
42000000160,false,false
42000000161,false,false
42000000162,false,false
42000000163,false,false
42000000164,false,false
42000000165,false,false
42000000166,false,false
42000000167,false,false
42000000168,false,false
42000000169,false,false
42000000170,false,false
42000000171,false,false
42000000172,false,false
42000000173,false,false
42000000174,false,false
42000000175,false,false
42000000176,false,false
42000000177,false,false
42000000178,false,false
42000000179,false,false
42000000180,false,false
42000000181,false,false
42000000182,false,false
42000000183,false,false
42000000184,false,false
42000000185,false,false
42000000186,false,false
42000000187,false,false
42000000188,false,false
42000000189,false,false
42000000190,false,false
42000000191,false,false
42000000192,false,false
42000000193,false,false
42000000194,false,false
42000000195,false,false
42000000196,false,false
42000000197,false,false
42000000198,false,false
42000000199,false,false
42000000200,false,false
42000000201,false,false
42000000202,false,false
42000000203,false,false
42000000204,false,false
42000000205,false,false
42000000206,false,false
42000000207,false,false
42000000208,false,false
42000000209,false,false
42000000210,false,false
42000000211,false,false
42000000212,false,false
42000000213,false,false
42000000214,false,false
42000000215,false,false
42000000216,false,false
42000000217,false,false
42000000218,false,false
42000000219,false,false
42000000220,false,false
42000000221,false,false
42000000222,false,false
42000000223,false,false
42000000224,false,false
42000000225,false,false
42000000226,false,false
42000000227,false,false
42000000228,false,false
42000000229,false,false
42000000230,false,false
42000000231,false,false
42000000232,false,false
42000000233,false,false
42000000234,false,false
42000000235,false,false
42000000236,false,false
42000000237,false,false
42000000238,false,false
42000000239,false,false
42000000240,false,false
42000000241,false,false
42000000242,false,false
42000000243,false,false
42000000244,false,false
42000000245,false,false
42000000246,false,false
42000000247,false,false
42000000248,false,false
42000000249,false,false
42000000250,false,false
42000000251,false,false
42000000252,false,false
42000000253,false,false
42000000254,false,false
42000000255,false,false
42000000256,false,false
42000000257,false,false
42000000258,false,false
42000000259,false,false
42000000260,false,false
42000000261,false,false
42000000262,false,false
42000000263,false,false
42000000264,false,false
42000000265,false,false
42000000266,false,false
42000000267,false,false
42000000268,false,false
42000000269,false,false
42000000270,false,false
42000000271,false,false
42000000272,false,false
42000000273,false,false
42000000274,false,false
42000000275,false,false
42000000276,false,false
42000000277,false,false
42000000278,false,false
42000000279,false,false
42000000280,false,false
42000000281,false,false
42000000282,false,false
42000000283,false,false
42000000284,false,false
42000000285,false,false
42000000286,false,false
42000000287,false,false
42000000288,false,false
42000000289,false,false
42000000290,false,false
42000000291,false,false
42000000292,false,false
42000000293,false,false
42000000294,false,false
42000000295,false,false
42000000296,false,false
42000000297,false,false
42000000298,false,false
42000000299,false,false
42000000300,false,false
42000000301,false,false
42000000302,false,false
42000000303,false,false
42000000304,false,false
42000000305,false,false
42000000306,false,false
42000000307,false,false
42000000308,false,false
42000000309,false,false
42000000310,false,false
42000000311,false,false
42000000312,false,false
42000000313,false,false
42000000314,false,false
42000000315,false,false
42000000316,false,false
42000000317,false,false
42000000318,false,false
42000000319,false,false
42000000320,false,false
42000000321,false,false
42000000322,false,false
42000000323,false,false
42000000324,false,false
42000000325,false,false
42000000326,false,false
42000000327,false,false
42000000328,false,false
42000000329,false,false
42000000330,false,false
42000000331,false,false
42000000332,false,false
42000000333,false,false
42000000334,false,false
42000000335,false,false
42000000336,false,false
42000000337,false,false
42000000338,false,false
42000000339,false,false
42000000340,false,false
42000000341,false,false
42000000342,false,false
42000000343,false,false
42000000344,false,false
42000000345,false,false
42000000346,false,false
42000000347,false,false
42000000348,false,false
42000000349,false,false
42000000350,false,false
42000000351,false,false
42000000352,false,false
42000000353,false,false
42000000354,false,false
42000000355,false,false
42000000356,false,false
42000000357,false,false
42000000358,false,false
42000000359,false,false
42000000360,false,false
42000000361,false,false
42000000362,false,false
42000000363,false,false
42000000364,false,false
42000000365,false,false
42000000366,false,false
42000000367,false,false
42000000368,false,false
42000000369,false,false
42000000370,false,false
42000000371,false,false
42000000372,false,false
42000000373,false,false
42000000374,false,false
42000000375,false,false
42000000376,false,false
42000000377,false,false
42000000378,false,false
42000000379,false,false
42000000380,false,false
42000000381,false,false
42000000382,false,false
42000000383,false,false
42000000384,false,false
42000000385,false,false
42000000386,false,false
42000000387,false,false
42000000388,false,false
42000000389,false,false
42000000390,false,false
42000000391,false,false
42000000392,false,false
42000000393,false,false
42000000394,false,false
42000000395,false,false
42000000396,false,false
42000000397,false,false
42000000398,false,false
42000000399,false,false
42000000400,false,false
42000000401,false,false
42000000402,false,false
42000000403,false,false
42000000404,false,false
42000000405,false,false
42000000406,false,false
42000000407,false,false
42000000408,false,false
42000000409,false,false
42000000410,false,false
42000000411,false,false
42000000412,false,false
42000000413,false,false
42000000414,false,false
42000000415,false,false
42000000416,false,false
42000000417,false,false
42000000418,false,false
42000000419,false,false
42000000420,false,false
42000000421,false,false
42000000422,false,false
42000000423,false,false
42000000424,false,false
42000000425,false,false
42000000426,false,false
42000000427,false,false
42000000428,false,false
42000000429,false,false
42000000430,false,false
42000000431,false,false
42000000432,false,false
42000000433,false,false
42000000434,false,false
42000000435,false,false
42000000436,false,false
42000000437,false,false
42000000438,false,false
42000000439,false,false
42000000440,false,false
42000000441,false,false
42000000442,false,false
42000000443,false,false
42000000444,false,false
42000000445,false,false
42000000446,false,false
42000000447,false,false
42000000448,false,false
42000000449,false,false
42000000450,false,false
42000000451,false,false
42000000452,false,false
42000000453,false,false
42000000454,false,false
42000000455,false,false
42000000456,false,false
42000000457,false,false
42000000458,false,false
42000000459,false,false
42000000460,false,false
42000000461,false,false
42000000462,false,false
42000000463,false,false
42000000464,false,false
42000000465,false,false
42000000466,false,false
42000000467,false,false
42000000468,false,false
42000000469,false,false
42000000470,false,false
42000000471,false,false
42000000472,false,false
42000000473,false,false
42000000474,false,false
42000000475,false,false
42000000476,false,false
42000000477,false,false
42000000478,false,false
42000000479,false,false
42000000480,false,false
42000000481,false,false
42000000482,false,false
42000000483,false,false
42000000484,false,false
42000000485,false,false
42000000486,false,false
42000000487,false,false
42000000488,false,false
42000000489,false,false
42000000490,false,false
42000000491,false,false
42000000492,false,false
42000000493,false,false
42000000494,false,false
42000000495,false,false
42000000496,false,false
42000000497,false,false
42000000498,false,false
42000000499,false,false
42000000500,false,false
42000000501,false,false
42000000502,false,false
42000000503,false,false
42000000504,false,false
42000000505,false,false
42000000506,false,false
42000000507,false,false
42000000508,false,false
42000000509,false,false
42000000510,false,false
42000000511,false,false
42000000512,false,false
42000000513,false,false
42000000514,false,false
42000000515,false,false
42000000516,false,false
42000000517,false,false
42000000518,false,false
42000000519,false,false
42000000520,false,false
42000000521,false,false
42000000522,false,false
42000000523,false,false
42000000524,false,false
42000000525,false,false
42000000526,false,false
42000000527,false,false
42000000528,false,false
42000000529,false,false
42000000530,false,false
42000000531,false,false
42000000532,false,false
42000000533,false,false
42000000534,false,false
42000000535,false,false
42000000536,false,false
42000000537,false,false
42000000538,false,false
42000000539,false,false
42000000540,false,false
42000000541,false,false
42000000542,false,false
42000000543,false,false
42000000544,false,false
42000000545,false,false
42000000546,false,false
42000000547,false,false
42000000548,false,false
42000000549,false,false
42000000550,false,false
42000000551,false,false
42000000552,false,false
42000000553,false,false
42000000554,false,false
42000000555,false,false
42000000556,false,false
42000000557,false,false
42000000558,false,false
42000000559,false,false
42000000560,false,false
42000000561,false,false
42000000562,false,false
42000000563,false,false
42000000564,false,false
42000000565,false,false
42000000566,false,false
42000000567,false,false
42000000568,false,false
42000000569,false,false
42000000570,false,false
42000000571,false,false
42000000572,false,false
42000000573,false,false
42000000574,false,false
42000000575,false,false
42000000576,false,false
42000000577,false,false
42000000578,false,false
42000000579,false,false
42000000580,false,false
42000000581,false,false
42000000582,false,false
42000000583,false,false
42000000584,false,false
42000000585,false,false
42000000586,false,false
42000000587,false,false
42000000588,false,false
42000000589,false,false
42000000590,false,false
42000000591,false,false
42000000592,false,false
42000000593,false,false
42000000594,false,false
42000000595,false,false
42000000596,false,false
42000000597,false,false
42000000598,false,false
42000000599,false,false
42000000600,false,false
42000000601,false,false
42000000602,false,false
42000000603,false,false
42000000604,false,false
42000000605,false,false
42000000606,false,false
42000000607,false,false
42000000608,false,false
42000000609,false,false
42000000610,false,false
42000000611,false,false
42000000612,false,false
42000000613,false,false
42000000614,false,false
42000000615,false,false
42000000616,false,false
42000000617,false,false
42000000618,false,false
42000000619,false,false
42000000620,false,false
42000000621,false,false
42000000622,false,false
42000000623,false,false
42000000624,false,false
42000000625,false,false
42000000626,false,false
42000000627,false,false
42000000628,false,false
42000000629,false,false
42000000630,false,false
42000000631,false,false
42000000632,false,false
42000000633,false,false
42000000634,false,false
42000000635,false,false
42000000636,false,false
42000000637,false,false
42000000638,false,false
42000000639,false,false
42000000640,false,false
42000000641,false,false
42000000642,false,false
42000000643,false,false
42000000644,false,false
42000000645,false,false
42000000646,false,false
42000000647,false,false
42000000648,false,false
42000000649,false,false
42000000650,false,false
42000000651,false,false
42000000652,false,false
42000000653,false,false
42000000654,false,false
42000000655,false,false
42000000656,false,false
42000000657,false,false
42000000658,false,false
42000000659,false,false
42000000660,false,false
42000000661,false,false
42000000662,false,false
42000000663,false,false
42000000664,false,false
42000000665,false,false
42000000666,false,false
42000000667,false,false
42000000668,false,false
42000000669,false,false
42000000670,false,false
42000000671,false,false
42000000672,false,false
42000000673,false,false
42000000674,false,false
42000000675,false,false
42000000676,false,false
42000000677,false,false
42000000678,false,false
42000000679,false,false
42000000680,false,false
42000000681,false,false
42000000682,false,false
42000000683,false,false
42000000684,false,false
42000000685,false,false
42000000686,false,false
42000000687,false,false
42000000688,false,false
42000000689,false,false
42000000690,false,false
42000000691,false,false
42000000692,false,false
42000000693,false,false
42000000694,false,false
42000000695,false,false
42000000696,false,false
42000000697,false,false
42000000698,false,false
42000000699,false,false
42000000700,false,false
42000000701,false,false
42000000702,false,false
42000000703,false,false
42000000704,false,false
42000000705,false,false
42000000706,false,false
42000000707,false,false
42000000708,false,false
42000000709,false,false
42000000710,false,false
42000000711,false,false
42000000712,false,false
42000000713,false,false
42000000714,false,false
42000000715,false,false
42000000716,false,false
42000000717,false,false
42000000718,false,false
42000000719,false,false
42000000720,false,false
42000000721,false,false
42000000722,false,false
42000000723,false,false
42000000724,false,false
42000000725,false,false
42000000726,false,false
42000000727,false,false
42000000728,false,false
42000000729,false,false
42000000730,false,false
42000000731,false,false
42000000732,false,false
42000000733,false,false
42000000734,false,false
42000000735,false,false
42000000736,false,false
42000000737,false,false
42000000738,false,false
42000000739,false,false
42000000740,false,false
42000000741,false,false
42000000742,false,false
42000000743,false,false
42000000744,false,false
42000000745,false,false
42000000746,false,false
42000000747,false,false
42000000748,false,false
42000000749,false,false
42000000750,false,false
42000000751,false,false
